fala,comportamento
"Jaguaraci Batista Silva A gente estava falando na última reunião lá de sua 27 preocupação em relação à saída do Alex. Isso aí. E a gente falou também sobre a questão do apoio à migração ali para o Rio de Janeiro. Então, assim, não houve muito avanço, tá? Ficou ali a responsabilidade do Morgado ver um time para fazer inventário das bases e isso não avançou, pelo que eu vi ali com a Elaine e a Juliana.",vida_privada
"Jaguaraci Batista Silva Eu até comentei ali com o Ramiro se precisasse de apoio com scripts ali, que eu conheço bem, assim, Transact SKL, e eu poderia apoiar com os scripts. Também falei com a Elane sobre acesso. Eu testei alguns scripts ali, mas eu não consegui acesso. Então precisa realmente ver como é orgado ali. Mas por que você não conseguiu acesso do Jaguar?",desvalorização
"Priscila Lourenço Molina É porque precisa da máquina Bradesco? Não, o acesso é de um usuário mesmo.",delegação_inadequada
"Jaguaraci Batista Silva Esse usuário é bem restrito. Parece que quem trabalha com essa gestão de usuários é o Victor, segundo a Elaine. Mas aí eu entendo que os engenheiros de dados geralmente estão ali constantes. Eles têm condições de executar um script de inventário muito rápido. Se tiver alguma dificuldade é só pedir apoio ou ajuda na construção do script. Falta essa parte ali.",delegação_inadequada
"Jaguaraci Batista Silva Eu até te mostro o mapa do que a gente estava fazendo. Toda essa parte de catálogo de APIs já passei por Ramiro. Pipeline de SaaS, as integrações do SQL Server, Pipeline dentro dele. E aí está faltando justamente essa parte aqui do DataMatch, tanto para a Teradata quanto para o SQL, porque toda essa parte do Pipeline já foi passada por Ramiro. Perfeito. E ele seguiu daí, ou ele não te pediu mais nada?",delegação_inadequada
"Jaguaraci Batista Silva Ele só respondeu falando que ele viu os documentos, mas que isso foi paralisado, porque vai ter uma reunião ainda nesta semana, nesta sexta-feira, para que sejam apresentados o trabalho que foi feito na semana passada. Então eu vejo que falta justamente um planejamento, isso aqui é um inventário. Então, estamos na etapa de inventário, depois vamos fazer a etapa de transição, e depois a etapa para desligar o MULI e desligar o SQL Server Departamental. Falta esse planejamento, essa ideia mesmo, para que todos entendam o que está acontecendo. Nesse ponto de integração do MULIsoft, eu já organizei as APIs por domínio de dados para facilitar também compartilhar com o Ramiro, compartilhar com o Raísso.",delegação_inadequada
"Jaguaraci Batista Silva Voltando lá às atividades, essa transição ali da saída do Alex para a entrada do Danilo, eu conversei com o Cassius, conversei com a Eliane e a Juliana ontem, eles conversaram com o Morgado... O Danilo não, o João, né? Eu tinha pensado no João mesmo, eles falaram que seria o Danilo, mas depois eles acabaram conversando com o Morgado e ficou o Thales. Ah, tá bom.",ataques
"Jaguaraci Batista Silva E aí eu tô, como o Alex, ele tá numa atividade ali até o final da semana, e esse captei tá planejado pra semana que vem, eu comecei a ver algumas documentações ali no Confluence do Rá. As documentações são muito limitadas, né, e são muito confusas. Então eu... Preciso fazer tudo de novo, Jaguar, essa documentação.",desvalorização
"Priscila Lourenço Molina Eu já tinha dito que, o pessoal já tinha dito pra mim que Estava tudo na cabeça do Alex mesmo. Na cabeça do Alex junto com o pessoal do banco. Não tinha nada assim dentro do Confluence que a gente pudesse confiar nesse sentido de risco-retorno. Então é isso.",vida_privada
"Jaguaraci Batista Silva Eu peguei algumas coisas ali de arquitetura que são bem limitadas. Porque o RAI acaba sendo um cálculo através de um procedimento no banco de dados. Então eu pensei ali nas etapas do simulador. Um pouco como é que esse cálculo tá. Eu dividi as etapas em 10 etapas. Tem uma planilha que eu fiz uma simulação ontem. Fiz os cálculos ali de interpolação e extrapolação e escrevi um código em Python para fazer simulador. Só que eu não sei como o banco implementou. Bateu, Jaguar? Bateu assim? Eu não sei como o banco implementou porque eu não tenho acesso a essas proceduras. Tem uma sinalização que eu fiz aqui que eu preciso entender as proceduras e saber se essas etapas que eu estou usando de acordo com o BIA, que é aquele modelo que eu sempre uso, se o banco implementou alguma coisa parecida. Eu acredito que está de rock Então eu usei esse modelo, coloquei as etapas ali pra ficar bem mais fácil de entender cada etapa do cálculo da simulação E fiz um simulador em Python ontem Claro que não vai bater com o que o banco usa, porque o simulador dele é de rock, então precisa saber a diferença do que eu fiz, usando o modelo, para o que o banco implementou. E aí durante o KT eu vou estabelecendo essas perguntas ali para o Alex e a gente vai fazendo a documentação. Entendi.",desvalorização
