item_number,item_text,synonyms
1,"Percebo que existe confiança na minha competência profissional.","noto confiança na minha capacidade profissional; observo credibilidade no meu trabalho; sinto que confiam na minha competência"
2,"Sou criticado em tudo que faço.","recebo críticas constantes; sou julgado em todas as ações; sou censurado em tudo"
3,"Percebo barreiras impedindo a minha comunicação eficaz junto ao meu grupo de trabalho.","vejo obstáculos na comunicação com a equipe; noto dificuldades para me expressar no grupo; sinto bloqueios na interação"
4,"Sinto que existem tons de ameaça na fala direcionada a mim.","percebo ameaças veladas; noto intimidação verbal; sinto linguagem hostil"
5,"Ouço falar que tenho dificuldades de adaptação.","comentam sobre minha falta de adaptação; dizem que não me adapto; circulam rumores sobre minha inflexibilidade"
6,"Sou chamado de desequilibrado(a).","me rotulam como instável; me tratam como descontrolado; usam termo 'desequilibrado' para mim"
7,"Percebo comentários sobre mim que podem me prejudicar.","noto fofocas prejudiciais; observo observações negativas; sinto boatos maliciosos"
8,"Sinto que sou criticado.","me sinto julgado; percebo avaliação negativa; noto repreensões"
9,"Me sinto desrespeitado em relação ao meu conhecimento e a minha experiência de trabalho.","sinto desvalorização profissional; noto falta de respeito à minha experiência; me sinto subestimado"
10,"Recebo recados, ao invés de falarem diretamente comigo.","me comunicam por indiretas; usam intermediários; evitam contato direto"
11,"Existe discriminação em relação ao meu trabalho.","há preconceito com meu trabalho; ocorre tratamento diferenciado; noto desigualdade"
12,"Recebo elogios em relação ao meu trabalho.","sou reconhecido positivamente; recebo compliments; tenho feedbacks favoráveis"
13,"Sou acusado de cometer erros que ninguém já havia cometido.","me culpam por falhas inéditas; me atribuem equívocos exclusivos; sou responsabilizado por erros únicos"
14,"Nas reuniões sou impedido de falar.","bloqueiam minha participação; silenciam minha voz; restringem minha fala"
15,"Sou xingado ou humilhado na frente de outras pessoas.","sofro insultos públicos; sou ofendido coletivamente; passo por vexame"
16,"Sou humilhado na individualidade.","sou constrangido em particular; passo por situações degradantes sozinho; sofro humilhação privada"
17,"As cobranças na execução do meu trabalho são aquém da minha competência ou do meu cargo.","exigem tarefas abaixo do meu nível; solicitam trabalhos inferiores; demandam atividades subutilizam"
18,"Sou responsabilizado por erros que são de outros colegas.","levo a culpa por falhas alheias; assumo responsabilidade de terceiros; sou imputado por equívocos dos outros"
19,"Percebo que sou vigiado em minha intimidade.","sinto invasão de privacidade; noto monitoramento excessivo; observo vigilância pessoal"
20,"Minhas queixas são ouvidas.","minhas reclamações são atendidas; minhas insatisfações são consideradas; meus feedbacks são valorizados"
21,"Ouço indiretas em relação à forma que eu consigo ascender nos cargos.","recebo insinuações sobre minha promoção; escuto comentários velados sobre progressão; noto indiretas sobre ascensão"
22,"Minhas ideias quando boas são atribuídas como sendo de outro colega.","meus méritos são apropriados; minhas contribuições são creditadas a outros; ideias bem-sucedidas são roubadas"
23,"Ao pedir ajuda me negam auxílio, ou mesmo me dão soluções erradas.","recusam suporte quando peço; deliberadamente enganam; sabotam com orientações erradas"
24,"As atividades que me pedem são de competências superiores às da descrição do meu cargo.","exigem tarefas acima do meu cargo; atribuem funções superiores; demandam além das responsabilidades"
25,"Sou comparado com pessoas desprezíveis.","me comparam a indivíduos indesejáveis; usam exemplos degradantes; estabelecem paralelos vexatórios"
26,"Me sinto intimidado com as propostas recebidas.","sinto-me coagido pelas sugestões; propostas me amedrontam; ofertas me intimidam"
27,"Sinto-me agredido emocionalmente.","sinto danos psicológicos; me sinto ofendido emocionalmente; vivencio violência emocional"
28,"Sofro agressões físicas.","passo por violência física; sou alvo de ataques corporais; experiencio agressão corporal"
29,"Recebo ameaças.","sou alvo de intimidações; recebo promessas de retaliação; sofro coação"
30,"Sou punido(a) sem motivos.","recebo sanções injustificadas; aplicam penalidades arbitrárias; sofro represálias imotivadas"
