fala,comportamento
"Jaguaraci Batista Silva A gente estava falando na última reunião lá de sua 27 preocupação em relação à saída do Alex. Isso aí. E a gente falou também sobre a questão do apoio à migração ali para o Rio de Janeiro. Então, assim, não houve muito avanço, tá? Ficou ali a responsabilidade do Morgado ver um time para fazer inventário das bases e isso não avançou, pelo que eu vi ali com a Elaine e a Juliana.",vida_privada
"Jaguaraci Batista Silva Eu até comentei ali com o Ramiro se precisasse de apoio com scripts ali, que eu conheço bem, assim, Transact SKL, e eu poderia apoiar com os scripts. Também falei com a Elane sobre acesso. Eu testei alguns scripts ali, mas eu não consegui acesso. Então precisa realmente ver como é orgado ali. Mas por que você não conseguiu acesso do Jaguar?",vida_privada
"Priscila Lourenço Molina É porque precisa da máquina Bradesco? Não, o acesso é de um usuário mesmo.",delegação_inadequada
"Jaguaraci Batista Silva E aí eu tô, como o Alex, ele tá numa atividade ali até o final da semana, e esse captei tá planejado pra semana que vem, eu comecei a ver algumas documentações ali no Confluence do Rá. As documentações são muito limitadas, né, e são muito confusas. Então eu... Preciso fazer tudo de novo, Jaguar, essa documentação.",vida_privada
"Priscila Lourenço Molina Eu acho que o Pion, nesse caso, como tem muita parte daí, concordo com você, não é exatamente uma história de negócio. Nós estamos falando de uma parte técnica que é esse cálculo. Eu acho que quem deveria chancelar mesmo é o P.O. Não é isso mesmo.",desvalorização
"Jaguaraci Batista Silva Mas aí você entende, Priscila, que a programação em si, eu não vejo assim como algo muito complexo.",vida_privada
"Jaguaraci Batista Silva A programação, ela não é complexa. É complexo entender o cálculo, ou seja, entender o negócio. O que é programação é... Quem estuda computação estuda estatística básica. Basicamente é um cálculo estatístico ali. Mas nem todas as pessoas...",desvalorização
"Priscila Lourenço Molina não, Jaguar, nem todas as pessoas tem profundidade técnica e estatística pra isso. Mas nesse caso a parte técnica eu apoio, sabe?",desvalorização
"Priscila Lourenço Molina Mas aí, Jaguar, novamente tá na dependência de você ou de alguma pessoa. A gente precisa eliminar qualquer dependência. A documentação serve pra que a gente perpetue um conhecimento.",vida_privada
"Jaguaraci Batista Silva A primeira é que a gente entende o código e aí documenta o código. Pra documentar o código, a gente precisa ter conhecimento de como é uma simulação de RA. Esse conhecimento eu tô participando de um conhecimento externo e não do conhecimento do banco. Quem deveria estar apoiando o KT ali junto com o conhecimento e dizer como o banco faz seria um P.O. Ou um analista de risco de crédito. Se ele não fizer isso o Thales vai enviesar pelo que eu entendo que é uma simulação e que não é como o banco faz.",delegação_inadequada
"Jaguaraci Batista Silva Esse papel de analista de risco de crédito, ele não faz parte das atividades da Vila Atacado, ele é da equipe de crédito mesmo. Entendi.",falta_suporte
"Jaguaraci Batista Silva Eu preciso ver o equilíbrio ali com as outras atividades que eu tô fazendo. Pra mim, essa é prioridade perante qualquer outra, tá, Jaguar? E essa atividade, ela vai demorar um tempo, tá, Priscila? Sim. Porque não é só pegar o código e comentar o código. É entender realmente como se faz uma simulação em rádio. Exato, é o conceito e o técnico, sim. E precisa ter esses envolvidos, né?",desvalorização
"Jaguaraci Batista Silva É porque fazer engenharia reversa do código para entender não adianta, porque o código não tem conhecimento de negócio. O conhecimento de negócio está na cabeça das pessoas.",delegação_inadequada
"Jaguaraci Batista Silva você precisa alinhar o especialista em negócio para apoiar esse conhecimento do que foi implementado. Se não tiver um especialista para apoiar, há um risco de tudo que for documentado, for documentado errado.",delegação_inadequada
"Jaguaraci Batista Silva Ela vai passando por filtro de validação.",falta_suporte
"Priscila Lourenço Molina O que a gente não pode é paralisar perante. A gente tem duas semanas. A gente não pode ficar paralisado esperando o cenário perfeito para documentar uma rotina legada. Entendeu? Ponto, Jaguar. É esse senso de emergência que a gente precisa fazer. Aí eu não sei se você entendeu.",vida_privada
"Priscila Lourenço Molina Eu acho que você fica muito preocupado em delimitar a responsabilidade e não em resolver problemas. Nós estamos aqui para resolver problemas.",vida_privada
"Jaguaraci Batista Silva O carteiro do Alex precisa ter a presença do Alex, do Thales, a minha e de um PO.",delegação_inadequada
"Jaguaraci Batista Silva Aí, Priscila, eu preciso da sua ajuda pra contactar essas pessoas porque o Alex, ele tá fazendo demanda. Ele está ainda em demanda. Você tentou contactar essas pessoas e elas se recusaram?",vida_privada
